Name,SRR3390478.quant,SRR3390479.quant,SRR3390480.quant,SRR3390481.quant,SRR3390482.quant,SRR3390483.quant,SRR3390484.quant,SRR3390485.quant
FBtr0331172,0.0,9.78375,8.96486,4.702,3.63385,0.0,7.6381,0.0
FBtr0075423,2286.12,2413.78,1898.97,2038.17,2714.08,3195.78,2101.52,3370.83
FBtr0333265,355.755,324.108,255.865,291.926,371.936,272.03,267.941,512.529
FBtr0331173,87.2704,387.072,241.128,259.225,379.073,324.722,87.4411,533.94
FBtr0075424,102.003,1510.39,3251.0,16823.3,62.0,58.0,1110.14,494.809
FBtr0075426,228.902,785.694,1394.23,3791.87,83.0038,110.79,671.845,451.666
FBtr0075427,24.6861,59.0339,212.211,386.464,3.49145e-08,25.7339,82.8152,47.618
FBtr0114536,3.37657e-08,0.0,0.0,0.0,0.0,0.0,3.19611e-08,11.098
FBtr0114537,0.621041,2.40111e-06,0.0,0.00208981,8.41089,0.0,0.0,0.00245468
FBtr0075428,570.841,802.039,543.522,630.001,741.305,570.785,510.261,662.715
FBtr0075431,17.7321,18.2213,8.0342,6.54822,11.1875,5.15323,12.4983,6.88404
FBtr0310461,32.0216,35.6819,12.9456,50.6056,25.5099,2.20277,6.47274,26.0567
FBtr0075432,2516.25,66.3212,108.665,200.995,514.97,291.955,52.5721,62.8907
FBtr0075433,143.185,11700.0,5393.13,9709.05,285.582,238.726,5005.78,369.0
FBtr0075434,107.229,11.0,45.0,11.0,12.0,42.0,5.0,5.0
FBtr0075435,372.179,491.214,273.066,265.0,501.15,298.203,275.0,314.167
FBtr0075437,19.1619,11.802,25.0,95.0,33.0,23.0,18.0,15.0
FBtr0333614,6.83809,19.198,0.0,0.0,0.0,3.10478e-08,0.0,0.0
FBtr0075441,14.4748,457.753,410.314,556.832,583.152,17.4623,0.0,94.214
FBtr0112850,316.013,603.301,415.582,622.701,749.206,822.011,682.439,577.014
FBtr0112851,769.921,1031.42,947.176,874.147,747.915,554.944,436.989,900.433
FBtr0112852,646.4,774.233,599.067,444.934,839.371,727.775,1001.9,465.182
FBtr0301472,253.783,675.112,453.595,718.736,481.419,187.48,337.504,148.406
FBtr0301473,0.210547,93.2296,0.0,37.4134,0.0,0.0,75.038,0.0
FBtr0301575,0.0,70.9164,45.4448,119.746,0.00132581,1.8185e-06,31.9832,0.000106085
FBtr0308212,863.312,929.838,800.764,879.79,950.571,526.552,857.455,927.829
FBtr0308213,0.00128763,160.262,2.3713e-08,172.034,38.29,336.577,569.382,0.0030193
FBtr0308214,160.041,97.1769,99.2825,384.995,140.504,316.467,69.7815,313.752
FBtr0308215,393.981,323.06,401.687,151.242,415.8,52.3347,0.000913359,304.454
FBtr0308216,31.8348,268.44,116.842,372.431,22.4645,75.619,65.5461,46.884
FBtr0333616,1089.11,1524.26,1050.73,1231.78,1330.15,1413.07,1394.19,1140.4
FBtr0301031,50.0,30.2196,19.2187,15.1252,25.0,80.8195,5.04595,99.1292
FBtr0075444,662.537,529.607,527.475,618.618,593.35,858.003,448.349,665.567
FBtr0302503,1554.84,1866.91,1374.17,1519.46,1883.56,1890.34,1401.28,2484.68
FBtr0333598,544.578,661.823,554.304,439.467,633.769,650.209,681.352,627.308
FBtr0075446,435.003,903.579,489.53,834.635,538.493,250.05,290.075,799.054
FBtr0302328,250.303,453.877,347.85,300.855,297.073,281.696,300.0,228.76
FBtr0075448,337.371,391.631,330.946,268.268,279.14,420.002,359.13,367.8
FBtr0075449,770.707,1247.87,829.555,825.441,1171.93,1084.19,1053.79,1105.04
FBtr0075450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0075451,472.356,583.756,456.212,517.722,634.173,493.61,526.291,612.338
FBtr0114589,1413.49,915.614,921.112,934.176,912.664,1139.68,979.092,693.669
FBtr0301911,316.039,407.235,334.835,489.023,393.851,264.809,311.829,318.861
FBtr0333290,651.179,1378.12,877.19,1011.73,670.943,302.001,750.553,681.795
FBtr0333291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0345951,321.797,207.206,120.383,156.684,408.237,301.285,180.493,134.535
FBtr0075452,594.308,567.834,320.119,472.567,660.162,664.991,485.963,667.406
FBtr0301912,156.898,255.415,277.719,161.219,113.545,81.3075,166.728,172.725
FBtr0333292,0.0,0.0,34.4365,0.0,0.0,20.7874,0.0,0.0
FBtr0075453,2912.37,3872.5,2864.31,3504.32,4653.08,4928.58,3118.25,5135.17
FBtr0075457,710.476,883.396,712.72,795.373,848.342,690.236,618.394,734.651
FBtr0333560,77.0648,133.874,77.215,88.5634,133.0,166.071,100.559,45.0356
FBtr0301481,453.627,465.549,380.761,391.581,413.391,476.929,349.712,477.052
FBtr0303379,511.676,1564.09,1324.91,9529.89,156.346,305.082,952.661,70.2704
