"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11074","FBgn0033327",-1.303925478,-1.314418983,-5.191615841,0.000858467,0.000995894,-0.705533554
"11075","FBgn0039820",-2.237250973,-1.955644873,-5.190010754,0.00086014,0.000997684,-0.633810734
"11076","FBgn0266177",1.464563987,1.602523543,5.183980427,0.000866454,0.001004918,-0.995997336
"11077","FBgn0053868",1.642895813,1.531109606,5.171560018,0.000879621,0.001020097,-1.038835301
"11078","FBgn0261358",2.279110031,2.663404293,5.169088066,0.000882268,0.001023074,-1.141569425
"11079","FBgn0034484",1.178506002,1.974609828,5.168630458,0.000882759,0.00102355,-0.980364376
"11080","FBgn0050037",2.084357492,2.263402897,5.160848179,0.000891153,0.00103319,-1.119895079
"11081","FBgn0050274",-2.062079056,-1.478119447,-5.158385432,0.000893827,0.001036198,-0.687989754
"11082","FBgn0050325",2.247984263,2.538941362,5.144341412,0.000909248,0.001053979,-1.168041979
"11083","FBgn0050458",-2.7361618,-1.751445732,-5.137641766,0.000916707,0.00106253,-0.665336585
"11084","FBgn0038394",5.360747815,5.073052627,5.13666362,0.000917801,0.001063702,-1.675227505
"11085","FBgn0034327",2.200970684,2.570431076,5.134788206,0.000919904,0.001066043,-1.173940244
"11086","FBgn0030459",4.091022463,2.239556966,5.130350635,0.0009249,0.001071736,-1.521357898
"11087","FBgn0031365",1.710805089,1.909109929,5.119757603,0.000936948,0.001085598,-1.11749264
"11088","FBgn0031677",1.815057687,1.953211552,5.114303384,0.000943218,0.001092765,-1.140231738
"11090","FBgn0267449",2.290999161,2.651421309,5.108201072,0.000950287,0.001100756,-1.224339877
"11091","FBgn0003015",-1.647073899,-1.709048487,-5.106796117,0.000951923,0.001102552,-0.788513396
"11092","FBgn0040755",1.880848649,2.007514263,5.104614541,0.000954469,0.001105401,-1.163103924
"11093","FBgn0038852",-1.969382754,-2.583545533,-5.102357006,0.000957112,0.001108362,-0.767844052
"11094","FBgn0034651",2.632369451,2.99398896,5.100488792,0.000959304,0.001110799,-1.295355416
"11096","FBgn0035875",5.676891861,6.987244784,5.097933404,0.000962313,0.001114084,-1.76995695
"11097","FBgn0051404",2.272339972,2.577089878,5.09239985,0.000968863,0.001121566,-1.241065323
"11098","FBgn0054054",-1.800589789,-1.936279037,-5.092024711,0.000969309,0.001121981,-0.795265859
"11099","FBgn0053641",-2.597561096,-2.704703328,-5.087436562,0.00097478,0.001128212,-0.741006405
"11101","FBgn0041623",-2.023018731,-1.921142758,-5.084429139,0.000978384,0.001132179,-0.788493462
"11102","FBgn0030707",-2.299065172,-0.767690029,-5.079834127,0.000983919,0.001138482,-0.772191335
"11103","FBgn0053985",1.238898211,-0.400246338,5.07927068,0.0009846,0.001139167,-1.107207689
"11104","FBgn0039232",1.245107024,1.808591703,5.077178542,0.000987134,0.001141996,-1.109152339
"11105","FBgn0031164",2.31195979,2.724008197,5.072196226,0.000993196,0.001148905,-1.275779378
