"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"891","FBgn0010909",9.110287835,8.995550891,93.78441257,2.4e-13,3.44e-12,21.00431301
"892","FBgn0035121",8.812800988,8.656590196,93.7953816,2.4e-13,3.44e-12,20.99893898
"923","FBgn0025683",8.942400441,8.775402402,92.5937398,2.65e-13,3.69e-12,20.92567454
"967","FBgn0000636",8.749369914,8.812557005,91.74575618,2.85e-13,3.79e-12,20.86590656
"988","FBgn0002645",8.653607901,8.596454867,91.18108223,3e-13,3.9e-12,20.82579279
"1011","FBgn0260635",8.820592209,8.733443903,90.51410472,3.18e-13,4.02e-12,20.78663528
"1020","FBgn0000547",9.115901761,9.093395086,90.3183481,3.23e-13,4.05e-12,20.77906483
"1058","FBgn0017581",9.725318114,9.742560657,89.49761092,3.47e-13,4.22e-12,20.72858604
"1074","FBgn0004646",8.588271609,8.486236782,88.96768844,3.64e-13,4.34e-12,20.67489893
"1082","FBgn0026084",10.7344798,10.42996177,88.89038152,3.66e-13,4.35e-12,20.69644582
"1112","FBgn0032400",9.837581391,9.715599645,88.18642905,3.9e-13,4.51e-12,20.63891085
"1161","FBgn0086901",8.736050523,8.73991709,86.63690764,4.49e-13,4.96e-12,20.51651
"1164","FBgn0250907",10.14015801,10.04530588,86.6041813,4.5e-13,4.97e-12,20.52918368
"1171","FBgn0010434",8.54185091,8.62659312,86.48962093,4.55e-13,4.98e-12,20.49959942
"1178","FBgn0027611",8.854778378,8.790466173,86.43779311,4.57e-13,4.99e-12,20.5050768
"1229","FBgn0261451",8.953638512,8.808317606,85.33236168,5.06e-13,5.28e-12,20.42673878
"1234","FBgn0266557",9.564067446,9.546565883,85.28207268,5.09e-13,5.29e-12,20.4287246
"1246","FBgn0022893",9.832371734,9.865100848,85.10303895,5.17e-13,5.32e-12,20.4172379
"1275","FBgn0001254",10.93712372,11.04952557,84.40896136,5.52e-13,5.55e-12,20.37513044
"1289","FBgn0000557",9.970980816,10.18635612,84.05638486,5.7e-13,5.67e-12,20.34004474
"1300","FBgn0031879",9.722511103,9.581853317,83.70177781,5.9e-13,5.83e-12,20.31154254
"1320","FBgn0010225",8.892272599,8.67996955,83.2835297,6.14e-13,5.97e-12,20.27221739
"1321","FBgn0035844",8.523666487,8.418482371,83.23669245,6.16e-13,5.97e-12,20.25886424
"1352","FBgn0260794",9.136011531,9.147314871,82.74774198,6.46e-13,6.13e-12,20.23453009
"1370","FBgn0052423",8.89451748,8.86003216,82.47615235,6.63e-13,6.21e-12,20.21020574
